热功率,电功率,主回路1冷却剂流量,主回路2冷却剂流量,主回路1热管段冷却剂温度,主回路2热管段冷却剂温度,主回路1冷管段冷却剂温度,主回路2冷管段冷却剂温度,主回路1蒸汽发生器二次侧压力,主回路2蒸汽发生器二次侧压力,主回路1蒸汽发生器水位,主回路2蒸汽发生器水位,主回路1蒸汽发生器给水流量,主回路2蒸汽发生器给水流量,主回路1蒸汽发生器给水温度,主回路2蒸汽发生器给水温度,主回路1蒸汽发生器蒸汽出口流量,主回路2蒸汽发生器蒸汽出口流量,主回路1蒸汽发生器蒸汽出口温度,主回路2蒸汽发生器蒸汽出口温度,稳压器压力,稳压器水位,稳压器蒸汽空间温度,稳压器水空间温度
0.251982349,0.081611701,0.999246243,1,0.083507538,0.083507183,0.077011927,0.077010177,0.000121944,0.000118094,0.001404823,0.001406596,0.066810534,0.066655374,0.057457429,0.057457095,0.066181533,0.066022577,0.074379132,0.074336659,0.002731665,0,0.097636995,0.09198936
0.251970202,0.081596979,0.999201914,1,0.08350387,0.083503261,0.077008334,0.077006584,0.0001218,0.000118199,0.00140473,0.001406558,0.066806584,0.0666493,0.057454777,0.057454444,0.06617448,0.06601972,0.074374249,0.074334052,0.002731648,0,0.097622912,0.091985016
0.251977388,0.081612407,0.999222589,1,0.083505965,0.083505467,0.077010395,0.077008628,0.000121914,0.000118091,0.001404794,0.001406567,0.066809824,0.066650237,0.057456193,0.057455859,0.066184352,0.066029724,0.074377214,0.074335021,0.002731636,0,0.097625536,0.091987359
0.251986266,0.081601352,0.999253267,1,0.083509077,0.083508358,0.077013036,0.07701132,0.000121946,0.000118123,0.00140487,0.001406616,0.066807763,0.066657559,0.057458267,0.057457933,0.066179636,0.066018991,0.074380313,0.074337705,0.002731703,0,0.097634936,0.09199046
0.251982889,0.081613052,0.999245094,1,0.083507426,0.083507062,0.077011921,0.077010179,0.000121999,0.000118204,0.00140485,0.001406623,0.066805995,0.066653359,0.057457361,0.057457027,0.066201152,0.066042031,0.074379575,0.074337407,0.002731746,0,0.097638664,0.091989292
0.251981383,0.081602881,0.999238879,1,0.083506765,0.08350635,0.077011233,0.077009492,0.000121888,0.000118231,0.001404809,0.001406638,0.066805593,0.066650933,0.057456958,0.057456624,0.066187846,0.066031136,0.074377854,0.074337166,0.002731777,0,0.097635772,0.09198858
0.251972848,0.081607181,0.999203196,1,0.083504105,0.083503631,0.077008787,0.077007012,0.000121856,0.000118255,0.001404763,0.001406619,0.066811099,0.066645171,0.05745504,0.05745471,0.066169545,0.066020432,0.074374827,0.074335103,0.002731659,0,0.097622232,0.091985506
0.251985866,0.08160664,0.99924178,1,0.083507634,0.083507161,0.077011991,0.077010267,0.000121889,0.000118038,0.00140485,0.001406595,0.066808715,0.066651919,0.057457523,0.057457194,0.066177745,0.066021202,0.074378638,0.074335869,0.002731692,0,0.097632758,0.091989369
0.251980204,0.081605767,0.999239689,1,0.083506824,0.083506579,0.077011421,0.077009705,0.00012186,0.000118148,0.001404813,0.001406613,0.066810131,0.06665575,0.057457068,0.057456738,0.06616191,0.066004815,0.074377452,0.074336425,0.002731784,0,0.097637641,0.091988922
0.25197764,0.081607992,0.99923178,1,0.083506494,0.083506155,0.077010983,0.077009242,0.000121943,0.000118231,0.001404805,0.001406605,0.0668082,0.066650578,0.057456716,0.057456383,0.066198545,0.066043277,0.074378137,0.074336891,0.002731713,0,0.097627009,0.0919884
0.251982432,0.081604232,0.999241646,1,0.083507719,0.083507195,0.077011944,0.077010169,0.000121972,0.00011826,0.001404849,0.00140665,0.066807343,0.066649829,0.057457408,0.057457074,0.066196295,0.066040995,0.074379396,0.074338174,0.002731745,0,0.097633697,0.091989389
0.251983762,0.081614436,0.999261045,1,0.083508617,0.083508338,0.077013054,0.077011278,0.000121946,0.000118067,0.00140487,0.001406615,0.066806699,0.066652395,0.057458261,0.057457902,0.06618805,0.066029511,0.074380163,0.07433709,0.00273184,0,0.097641198,0.091991018
0.251971707,0.081600079,0.999217861,1,0.083505389,0.08350478,0.077009798,0.077008048,0.000121802,0.000118146,0.001404754,0.001406555,0.066808726,0.066655321,0.057455843,0.057455509,0.066143625,0.065985976,0.074375447,0.074334472,0.002731724,0,0.09762593,0.091987048
0.251980652,0.081610898,0.999238265,1,0.083507313,0.083506924,0.077011772,0.077010048,0.000121971,0.000118232,0.001404819,0.001406619,0.066808191,0.0666514,0.05745725,0.057456916,0.066202187,0.066046305,0.074379146,0.074337653,0.002731739,0,0.097629125,0.091989378
0.251983868,0.08160479,0.999251245,1,0.0835079,0.08350763,0.077012415,0.077010674,0.000121889,0.000118094,0.00140483,0.001406603,0.066807036,0.066653401,0.057457817,0.057457487,0.066172769,0.066014231,0.074378498,0.074336312,0.002731845,0,0.097639393,0.091990435
0.251978052,0.081608824,0.999227321,1,0.083506098,0.083505659,0.077010606,0.077008881,0.000121886,0.000118174,0.00140477,0.00140657,0.066810366,0.066653962,0.057456355,0.05745602,0.066171985,0.066016194,0.074377241,0.074335919,0.002731753,0,0.097627063,0.091988213
0.251983711,0.081604417,0.999246849,1,0.083508058,0.083507559,0.077012382,0.077010607,0.000121945,0.000118233,0.00140483,0.00140663,0.066808306,0.066651983,0.057457705,0.057457371,0.066197778,0.066041594,0.074379649,0.074338183,0.002731789,0,0.097633364,0.0919903
0.251982252,0.081609629,0.999246311,1,0.083507522,0.083507243,0.077012035,0.077010319,0.000121944,0.000118288,0.001404851,0.001406652,0.06680704,0.066650025,0.057457478,0.057457145,0.066195991,0.06604119,0.074378773,0.074338321,0.00273186,0,0.097637609,0.091990065
0.251976951,0.081606327,0.999230568,1,0.083505982,0.083505568,0.077010522,0.077008798,0.000121803,0.000118119,0.001404768,0.001406569,0.066811761,0.066646772,0.057456373,0.057456043,0.066160276,0.066009,0.074376332,0.074334807,0.002731834,0,0.097633001,0.091988189
0.251974862,0.08160379,0.99921921,1,0.083505728,0.083505229,0.077010214,0.077008498,0.000121941,0.000118091,0.001404789,0.001406534,0.066806187,0.066656267,0.057456105,0.057455775,0.066172492,0.066011629,0.074377371,0.074334874,0.002731765,0,0.097624735,0.091987709
0.251979315,0.081607957,0.999229616,1,0.083506705,0.083506181,0.07701103,0.07700934,0.00012197,0.000118203,0.001404806,0.001406579,0.066805556,0.066651895,0.057456751,0.057456418,0.066201519,0.066043398,0.074378546,0.074336885,0.00273177,0,0.097629698,0.091988676
0.251985394,0.081606207,0.999252932,1,0.083508487,0.083507963,0.077012697,0.077010956,0.000121807,0.000118261,0.001404781,0.001406637,0.066810574,0.06664993,0.05745802,0.05745769,0.066176634,0.066025577,0.074378135,0.074338934,0.002731829,0,0.097640485,0.091990777
0.251984339,0.081611096,0.999253409,1,0.083507914,0.083507559,0.07701236,0.07701061,0.000121945,0.000118094,0.001404856,0.001406602,0.066812028,0.066650193,0.057457726,0.057457421,0.06617635,0.066021164,0.074379216,0.074336278,0.002731898,0,0.097640862,0.091990608
0.251972873,0.081600664,0.999210902,1,0.083504519,0.083504046,0.077009095,0.077007371,0.000121967,0.000118144,0.00140477,0.001406543,0.066803515,0.066654984,0.057455308,0.057454978,0.066179884,0.066018665,0.07437678,0.074334427,0.002731783,0,0.097627676,0.091986654
0.251982296,0.08161048,0.99924124,1,0.083507533,0.083507118,0.077011929,0.077010179,0.000122027,0.000118232,0.001404821,0.001406594,0.06680492,0.066652144,0.057457396,0.057457063,0.066205978,0.066047132,0.07437988,0.07433783,0.0027318,0,0.097631682,0.091989987
0.251984178,0.081606725,0.999254354,1,0.083508259,0.083507895,0.077012647,0.077010897,0.000122,0.00011815,0.001404862,0.001406635,0.0668043,0.066652355,0.057457994,0.05745766,0.066185599,0.066025704,0.074379577,0.074337078,0.002731908,0,0.097640481,0.091991026
0.251970866,0.081606617,0.999203874,1,0.083504147,0.083503563,0.077008703,0.077006936,0.000121773,0.000118116,0.001404706,0.001406506,0.066808924,0.066653137,0.057454958,0.057454628,0.066144412,0.065988899,0.074374307,0.074333425,0.002731766,0,0.097624782,0.091986153
0.251979759,0.081605654,0.999230629,1,0.083506798,0.083506376,0.077011271,0.077009496,0.000121943,0.000118231,0.001404781,0.001406581,0.066807852,0.066651366,0.057456893,0.057456563,0.066196196,0.06604007,0.074378333,0.074337002,0.002731803,0,0.097630615,0.091989107
0.251982957,0.081614537,0.999243811,1,0.083507411,0.083507073,0.077011866,0.07701009,0.000121833,0.000118121,0.001404792,0.001406565,0.06681088,0.066650737,0.057457327,0.057456993,0.06616947,0.066015807,0.074377411,0.074336138,0.002731825,0,0.097640065,0.091990042
0.251974037,0.081604893,0.999216375,1,0.083505,0.083504636,0.077009616,0.077007892,0.000121913,0.000118145,0.001404752,0.001406524,0.066806985,0.066653884,0.057455641,0.057455308,0.066178117,0.06601961,0.074376649,0.074334685,0.002731801,0,0.09762908,0.09198747
0.251978268,0.081611014,0.99923178,1,0.083506635,0.083506246,0.0770111,0.077009376,0.00012197,0.000118203,0.001404779,0.001406579,0.066806446,0.066651732,0.057456749,0.05745639,0.06619745,0.066039663,0.074378716,0.074336726,0.002731826,0,0.097630268,0.091989184
0.251979925,0.081611366,0.999241108,1,0.083507134,0.08350683,0.077011667,0.077009917,0.000122027,0.000118259,0.001404843,0.001406616,0.066805034,0.066650987,0.05745716,0.057456826,0.066201855,0.066043842,0.074379578,0.074337494,0.002731845,0,0.097638564,0.091989944
0.251979823,0.081609831,0.999243746,1,0.083507154,0.08350674,0.077011631,0.077009881,0.00012186,0.000118065,0.001404787,0.001406588,0.066804559,0.066653779,0.057457188,0.057456858,0.066161878,0.066001926,0.074377379,0.074335304,0.002731954,0,0.097638771,0.091989976
0.251974059,0.081610842,0.999225836,1,0.083505945,0.083505447,0.077010417,0.077008675,0.000121914,0.000118202,0.001404792,0.001406593,0.066810965,0.0666529,0.057456237,0.057455904,0.066172116,0.066017179,0.074377179,0.074335849,0.00273191,0,0.09762889,0.091988529
0.251982088,0.081606514,0.999238672,1,0.083507307,0.083506918,0.077011771,0.077009996,0.000121888,0.000118093,0.001404762,0.001406535,0.066806899,0.066652628,0.057457266,0.057456937,0.066183053,0.066024846,0.074378097,0.074335938,0.002731848,0,0.09763097,0.091990094
0.251982631,0.081614794,0.999242189,1,0.08350714,0.083506861,0.077011694,0.077009969,0.000121888,0.000118176,0.001404789,0.00140659,0.066811065,0.066654908,0.057457173,0.057456839,0.066173228,0.06601746,0.074377963,0.074336775,0.002731874,0,0.097639298,0.0919902
0.25197982,0.08160358,0.999231646,1,0.08350651,0.083506122,0.077011037,0.077009295,0.00012197,0.000118203,0.001404777,0.001406577,0.066807454,0.066650994,0.057456693,0.057456359,0.066195471,0.066039095,0.07437842,0.074336666,0.002731905,0,0.097628407,0.091989411
0.251984401,0.081618039,0.999252526,1,0.083508526,0.083508078,0.077012818,0.077011102,0.000122028,0.000118289,0.001404864,0.001406637,0.066806865,0.06665129,0.057457993,0.057457659,0.066205089,0.066048236,0.074380546,0.074338749,0.002731913,0,0.097637394,0.091991513
0.251985438,0.081607985,0.999259558,1,0.083508699,0.08350831,0.077013057,0.077011341,0.000122056,0.00011804,0.001404868,0.001406586,0.066804502,0.066655739,0.057458262,0.057457929,0.066178262,0.066014155,0.074381057,0.074336402,0.002731976,0,0.097642788,0.091991954
0.251977169,0.081612937,0.999223265,1,0.083505996,0.083505523,0.07701051,0.077008743,0.000121859,0.000118174,0.001404711,0.001406567,0.066801489,0.066656307,0.057456336,0.057456002,0.066270011,0.066110699,0.074376027,0.074335719,0.002731913,0,0.097627707,0.091988861
0.251986053,0.083794693,0.999266319,1,0.083509055,0.083508581,0.077013282,0.077011532,0.000121724,0.000118068,0.001404928,0.001406784,0.066940821,0.066726653,0.057463103,0.057462744,0.067804941,0.067649254,0.074375592,0.074334682,0.002731957,0,0.097637542,0.091992118
0.252033132,0.084959745,0.999613204,1,0.083534669,0.083524522,0.077028047,0.077026221,0.000120916,0.000118533,0.001406601,0.001409261,0.067239695,0.066961178,0.057506672,0.057506283,0.066232967,0.066117568,0.074376771,0.074352055,0.002733543,0,0.097715057,0.09201284
0.251956782,0.08403678,0.999095175,1,0.083501103,0.083499666,0.077004736,0.076997864,0.000122071,0.000118775,0.001406736,0.00140934,0.066677966,0.06606739,0.057496619,0.057496175,0.064908784,0.064698461,0.074371443,0.074331866,0.002731677,0,0.097687051,0.091980969
0.251930782,0.08234271,0.999011058,1,0.083488164,0.083487192,0.076992353,0.076972939,0.000122551,0.000119366,0.001405145,0.001407416,0.066371623,0.065620861,0.05744229,0.057441711,0.065025744,0.064836447,0.074365354,0.074330896,0.002731498,0,0.097595608,0.091968054
0.251892632,0.082614913,0.998997683,1,0.083487968,0.083486142,0.076990165,0.076966737,0.000123159,0.000119559,0.001403937,0.00140546,0.066549111,0.0661143,0.057390658,0.057390189,0.066156229,0.066011466,0.074370205,0.074328715,0.002730799,0,0.097629757,0.091966072
0.251896388,0.084263987,0.999073139,1,0.083493344,0.083491662,0.076995965,0.076979575,0.000122587,0.000119125,0.001403544,0.001404874,0.066772848,0.066530749,0.057382187,0.057381799,0.06635872,0.066209492,0.074366831,0.074329801,0.002731587,0,0.097708382,0.091972586
0.251893763,0.083573737,0.999153956,1,0.083495716,0.083494186,0.07700264,0.076995354,0.000122429,0.000119049,0.001403914,0.001405105,0.066734608,0.066477371,0.057397451,0.057397088,0.065290945,0.065152316,0.074375742,0.074336934,0.002732072,0,0.097602084,0.0919795
