热功率,电功率,主回路1冷却剂流量,主回路2冷却剂流量,主回路1热管段冷却剂温度,主回路2热管段冷却剂温度,主回路1冷管段冷却剂温度,主回路2冷管段冷却剂温度,主回路1蒸汽发生器二次侧压力,主回路2蒸汽发生器二次侧压力,主回路1蒸汽发生器水位,主回路2蒸汽发生器水位,主回路1蒸汽发生器给水流量,主回路2蒸汽发生器给水流量,主回路1蒸汽发生器给水温度,主回路2蒸汽发生器给水温度,主回路1蒸汽发生器蒸汽出口流量,主回路2蒸汽发生器蒸汽出口流量,主回路1蒸汽发生器蒸汽出口温度,主回路2蒸汽发生器蒸汽出口温度,稳压器压力,稳压器水位,稳压器蒸汽空间温度,稳压器水空间温度
0.160910682,0.048590956,0.998918131,1,0.081153121,0.081152042,0.076932454,0.076896919,0.000307405,0.000311163,0.001523818,0.001523736,0.040483633,0.040718034,0.050854147,0.050854202,0.039634947,0.039873631,0.074952151,0.07499272,0.002893948,0,0.097520288,0.09134701
0.160912518,0.048589284,0.998905192,1,0.081152431,0.081150913,0.076931293,0.076895758,0.000307484,0.00031138,0.001523883,0.001523827,0.040477806,0.040722871,0.050853418,0.050853472,0.039671377,0.039901938,0.074951596,0.074993902,0.002893913,0,0.09750976,0.091345589
0.160920145,0.048590002,0.998931404,1,0.08115422,0.081152921,0.076933133,0.076897538,0.000307217,0.000311251,0.00152387,0.001523898,0.040498748,0.040741716,0.050854612,0.050854667,0.039624872,0.03986171,0.074950311,0.074994001,0.002893855,0,0.097515487,0.091347805
0.160918891,0.048588592,0.998932624,1,0.081153412,0.081152417,0.076932529,0.076896918,0.000307409,0.000311415,0.001523974,0.001523974,0.040485024,0.040724154,0.05085438,0.050854435,0.039648762,0.039889187,0.074951631,0.074994874,0.002893842,0,0.097523003,0.091347279
0.160917935,0.048585804,0.998914166,1,0.081151455,0.081150241,0.076930372,0.076894787,0.000307318,0.000311325,0.001523936,0.001523964,0.04053297,0.040771787,0.050852835,0.05085289,0.039655363,0.039895398,0.074948249,0.074991719,0.002893744,0,0.097513403,0.091344964
0.160921492,0.048585782,0.998914432,1,0.081151796,0.081150363,0.076930395,0.07689481,0.000307375,0.000311381,0.001524025,0.001524052,0.040506281,0.040743939,0.050852931,0.050853015,0.039633672,0.039874319,0.074948872,0.074992198,0.002893671,0,0.097507199,0.091344734
0.160925708,0.048584909,0.998933707,1,0.081152603,0.081151498,0.076931384,0.076895815,0.000307518,0.000311525,0.001524161,0.001524188,0.04054965,0.040787923,0.050853643,0.050853698,0.039688882,0.039929365,0.074950907,0.07499431,0.002893664,0,0.097516459,0.091346124
0.160925736,0.048580705,0.998923065,1,0.081151108,0.081150028,0.076929953,0.076894385,0.000307568,0.000311603,0.001524275,0.001524275,0.040546459,0.040784586,0.050852723,0.050852778,0.039682248,0.039923085,0.07494992,0.07499355,0.002893592,0,0.097513498,0.091344607
0.160932329,0.04858164,0.998935261,1,0.081152198,0.08115095,0.076930816,0.076895222,0.000307324,0.000311414,0.001524269,0.001524324,0.040533713,0.040766623,0.050853496,0.050853551,0.03961124,0.039856723,0.074947441,0.074991704,0.00289355,0,0.097509819,0.09134537
0.160934888,0.048579113,0.998938366,1,0.081151683,0.081150578,0.076930359,0.076894773,0.000307545,0.000311468,0.001524377,0.001524377,0.040511802,0.040750045,0.050853676,0.050853731,0.039642445,0.039881075,0.074949501,0.07499206,0.002893489,0,0.097514736,0.091344978
0.160932242,0.048576438,0.998909125,1,0.081148731,0.081147601,0.076927368,0.076891801,0.000307589,0.000311458,0.001524379,0.001524324,0.040567653,0.040808013,0.050851803,0.050851858,0.039684091,0.039920585,0.074947127,0.07498863,0.002893334,0,0.097505172,0.091341538
0.160935545,0.048576397,0.998906427,1,0.0811489,0.081147382,0.076927066,0.076891457,0.000307396,0.000311457,0.001524379,0.001524434,0.040537438,0.040782364,0.050851816,0.0508519,0.039620308,0.039854706,0.074944211,0.074988692,0.002893278,0,0.097499948,0.091341039
0.160940711,0.048575653,0.998922735,1,0.0811497,0.081148512,0.076927993,0.076892374,0.000307539,0.000311545,0.001524514,0.001524514,0.040564335,0.040799702,0.050852736,0.050852791,0.039672724,0.039917236,0.074946835,0.074989858,0.002893185,0,0.097504879,0.091342026
0.160941087,0.048575434,0.99892463,1,0.081148993,0.08114783,0.076927276,0.076891666,0.000307454,0.000311433,0.00152456,0.00152456,0.040561399,0.040802288,0.050852478,0.050852559,0.039631134,0.039868102,0.074944788,0.07498808,0.002893141,0,0.097508549,0.091341396
