滑油总管压力,1号电动滑油泵滑油出口压力,滑油总管温度,滑油总管流量,滑油总管再循环滑油流量,滑油压力调节阀开度指令,滑油压力调节阀开度反馈,2号电动滑油输送泵滑油出口压力,滑油温度调节阀开度指令,滑油温度调节阀开度反馈,汽轮主机模拟装置滑油入口调节阀阀门开度指令,汽轮主机模拟装置滑油入口调节阀开度反馈,滑油冷却器滑油进口温度,汽轮主机减速器模拟装置滑油入口调节阀开度指令,汽轮主机减速器模拟装置滑油入口调节阀开度反馈,滑油冷却器滑油出口温度,汽轮发电机组模拟装置滑油入口调节阀开度指令,汽轮发电机组模拟装置滑油入口调节阀开度反馈,汽轮主机模拟装置滑油入口流量,主推力轴承模拟装置滑油入口调节阀开度指令,主推力轴承模拟装置滑油入口调节阀开度反馈,汽轮主机模拟装置滑油入口压力,汽轮主机模拟装置调节阀阀门开度指令,汽轮主机模拟装置调节阀开度反馈,汽轮主机模拟装置滑油出口温度,汽轮主机减速器模拟装置调节阀阀门开度指令,汽轮主机减速器模拟装置调节阀开度反馈,汽轮主机减速器模拟装置滑油入口流量,汽轮发电机组模拟装置调节阀阀门开度指令,汽轮发电机组模拟装置调节阀开度反馈,汽轮主机减速器模拟装置滑油入口压力,主推力轴承模拟装置调节阀阀门开度指令,主推力轴承模拟装置调节阀开度反馈,汽轮主机减速器模拟装置滑油出口温度,汽轮凝水泵组模拟装置调节阀阀门开度指令,汽轮凝水泵组模拟装置调节阀开度反馈,汽轮发电机组模拟装置滑油入口流量,汽轮给水泵组模拟装置调节阀阀门开度指令,汽轮给水泵组模拟装置调节阀开度反馈,汽轮发电机组模拟装置滑油入口压力,汽轮滑油泵组模拟装置调节阀阀门开度指令,汽轮滑油泵组模拟装置调节阀开度反馈,汽轮发电机组模拟装置滑油出口温度,汽轮辅循环水泵模拟装置调节阀阀门开度指令,汽轮辅循环水泵模拟装置调节阀开度反馈,主推力轴承模拟装置滑油入口流量,滑油加热器1号功率,滑油加热器1号加热器出口温度,主推力轴承模拟装置滑油入口压力,滑油加热器2号功率,滑油加热器2号加热器出口温度,主推力轴承模拟装置滑油出口温度,汽轮凝水泵组模拟装置滑油入口流量,汽轮凝水泵组模拟装置滑油入口压力,汽轮凝水泵组模拟装置滑油出口温度,汽轮给水泵组模拟装置滑油入口流量,汽轮给水泵组模拟装置滑油入口压力,汽轮给水泵组模拟装置滑油出口温度,汽轮滑油泵组模拟装置滑油入口流量,汽轮滑油泵组模拟装置滑油入口压力,汽轮滑油泵组模拟装置滑油出口温度,汽轮辅循环水泵模拟装置滑油入口流量,汽轮辅循环水泵模拟装置滑油入口压力,汽轮辅循环水泵模拟装置滑油出口温度,电动滑油泵1号变频泵转速指令,电动滑油泵1号变频泵转速反馈,电动滑油泵2号变频泵转速指令,电动滑油泵2号变频泵转速反馈,滑油冷却器1号滑油入口压力,滑油冷却器1号滑油出口压力,滑油冷却器1号冷却水入口温度,滑油冷却器1号冷却水出口温度
0.3809,0.649131,37.6562,167.975,29.5406,14.0,13.575,0.00295415,0.0,0.068751,70.0,70.0188,37.5687,95.0,95.1313,37.2812,25.0,24.8062,48.2138,63.0,62.8812,0.216375,50.0,50.0125,36.8187,60.0,60.1188,64.6319,22.0,21.825,0.202781,57.0,56.9562,37.1125,29.0,29.05,16.0181,16.0,15.9187,0.177312,29.0,28.7687,36.2,25.0,24.6188,5.10875,0.25312,28.3969,0.206781,0.478131,29.2219,37.0938,2.06,0.209062,36.1,2.12875,0.218969,36.1125,2.09875,0.198156,36.625,1.95531,0.185031,36.375,0.0,779.59,0.0,0.0924933,0.233125,0.19325,34.4188,34.7875
0.18195,0.50284,39.4,74.7375,21.3375,14.0,13.4875,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1125,39.0688,25.0,24.9937,14.655,63.0,62.8812,0.087375,32.0,31.8812,35.1125,41.0,41.2562,23.3188,22.0,21.825,0.0759062,57.0,56.9437,37.425,31.0,30.5625,10.6894,16.0,15.4563,0.0939375,29.0,28.7687,33.2187,25.0,24.625,3.31625,0.337502,33.0844,0.0784688,0.534377,33.9188,36.8625,1.15656,0.076875,34.7188,1.17437,0.082,33.1312,1.48531,0.0903437,35.6313,1.20656,0.08425,34.1313,446.803,448.81,0.0,0.184987,0.1815,0.17,35.2625,36.8812
0.1768,0.50284,39.4062,74.3625,21.2719,14.0,13.4875,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1125,39.0688,25.0,24.9937,14.4862,63.0,62.8812,0.0823438,32.0,31.8812,35.1313,41.0,41.25,23.03,22.0,21.825,0.0759062,57.0,56.9437,37.425,31.0,30.5625,10.6481,16.0,15.4563,0.0939375,29.0,28.7687,33.2375,25.0,24.625,3.30094,0.25312,33.0844,0.0784688,0.534377,33.9188,36.85,1.14062,0.076875,34.725,1.16031,0.082,33.1625,1.46469,0.0903437,35.6562,1.1975,0.08425,34.1625,441.85,447.145,0.0,0.0924933,0.1815,0.16325,35.2562,36.8812
0.1768,0.50284,39.4,73.975,21.1781,14.0,13.4875,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1063,39.075,25.0,24.9937,14.4075,63.0,62.8812,0.0823438,32.0,31.8812,35.1313,41.0,41.25,22.8988,22.0,21.825,0.0759062,57.0,56.9437,37.4313,31.0,30.5625,10.5919,16.0,15.4563,0.0939375,29.0,28.7687,33.2313,25.0,24.625,3.28813,0.337502,33.0844,0.0784688,0.534377,33.9,36.8688,1.13406,0.076875,34.725,1.15094,0.082,33.1688,1.45656,0.0903437,35.6562,1.1975,0.08425,34.1688,439.128,442.612,0.0,0.0924933,0.1815,0.16325,35.2687,36.8812
0.1768,0.50284,39.4062,73.4,21.1313,14.0,13.4875,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1125,39.0688,25.0,24.9937,14.3288,63.0,62.8812,0.0823438,32.0,31.8812,35.1313,41.0,41.25,22.7763,22.0,21.825,0.0709687,57.0,56.9437,37.4313,31.0,30.5625,10.5581,16.0,15.45,0.0894687,29.0,28.7687,33.2563,25.0,24.625,3.27344,0.25312,33.0844,0.0784688,0.534377,33.9188,36.8688,1.12656,0.076875,34.725,1.14125,0.082,33.1688,1.44969,0.0859375,35.6625,1.1975,0.08425,34.1625,436.653,441.04,0.0,0.0924933,0.17625,0.16325,35.2687,36.8812
0.172,0.50284,39.4062,73.0875,21.0562,14.0,13.4875,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1125,39.0813,25.0,24.9937,14.2162,63.0,62.8812,0.0823438,32.0,31.8812,35.1313,41.0,41.25,22.6494,22.0,21.825,0.0709687,57.0,56.9437,37.4562,31.0,30.5625,10.53,16.0,15.4563,0.0894687,29.0,28.7687,33.2625,25.0,24.6188,3.25531,0.25312,33.0844,0.0784688,0.534377,33.9188,36.875,1.12094,0.07225,34.75,1.1325,0.0772188,33.1937,1.44062,0.0859375,35.6687,1.1975,0.0798437,34.1812,434.178,438.358,0.0,0.0924933,0.17625,0.158875,35.2625,36.8812
0.172,0.50284,39.4062,72.775,20.9625,14.0,13.4875,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1125,39.0813,25.0,24.9937,14.1487,63.0,62.8812,0.0823438,32.0,31.8812,35.1313,41.0,41.2562,22.4831,22.0,21.825,0.0709687,57.0,56.9562,37.4562,31.0,30.5625,10.4456,16.0,15.4563,0.0894687,29.0,28.7687,33.2875,25.0,24.6188,3.24031,0.281256,33.0844,0.0740312,0.534377,33.9,36.8688,1.11063,0.07225,34.75,1.12188,0.0772188,33.2062,1.43375,0.0859375,35.6875,1.1975,0.0798437,34.1937,431.7,436.692,0.0,0.0924933,0.17625,0.158875,35.2687,36.8812
0.172,0.50284,39.4062,72.4375,20.8969,14.0,13.5,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1063,39.0813,25.0,24.9937,14.07,63.0,62.8812,0.077875,32.0,31.8812,35.1375,41.0,41.2562,22.3606,22.0,21.825,0.0709687,57.0,56.9437,37.4625,31.0,30.5625,10.3875,16.0,15.4563,0.0894687,29.0,28.775,33.2937,25.0,24.6188,3.2275,0.393748,33.0844,0.0740312,0.534377,33.8906,36.875,1.10406,0.07225,34.7625,1.11531,0.0772188,33.2062,1.42656,0.0859375,35.7,1.19281,0.0798437,34.2125,429.225,434.843,0.0,0.0924933,0.171,0.158875,35.2625,36.8812
0.1676,0.50284,39.4062,71.9625,20.8406,14.0,13.5,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1125,39.0813,25.0,24.9937,14.0138,63.0,62.8812,0.077875,32.0,31.8812,35.1375,41.0,41.2562,22.26,22.0,21.825,0.0709687,57.0,56.9562,37.4625,31.0,30.5625,10.3387,16.0,15.4563,0.0853437,29.0,28.775,33.3188,25.0,24.625,3.21312,0.365625,33.0844,0.0740312,0.534377,33.9188,36.8937,1.0975,0.07225,34.7625,1.10781,0.0772188,33.2125,1.42,0.0859375,35.6938,1.18875,0.0798437,34.2375,426.75,430.68,0.0,0.0924933,0.171,0.154375,35.2625,36.8812
0.1676,0.50284,39.4062,71.2,20.7,14.0,13.5,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1125,39.0813,25.0,24.9937,13.8825,63.0,62.8812,0.077875,32.0,31.8812,35.1437,41.0,41.25,22.1025,22.0,21.825,0.0665938,57.0,56.9437,37.4562,31.0,30.5625,10.2075,16.0,15.4563,0.0853437,29.0,28.7687,33.3438,25.0,24.6188,3.18031,0.365625,33.0844,0.0740312,0.534377,33.9188,36.9062,1.09125,0.07225,34.7625,1.10062,0.0772188,33.2375,1.41031,0.0816562,35.7063,1.17719,0.074625,34.2438,424.275,426.24,0.0,0.0924933,0.16625,0.154375,35.2625,36.8812
